Player 1,Player 2,Board,Time,Winner
team5_MCTS,expert_player,empty-3x3,0.1,2
team5_MCTS,expert_player,empty-3x3,0.1,2
team5_MCTS,expert_player,empty-3x3,0.1,2
team5_MCTS,expert_player,empty-3x3,0.1,2
team5_MCTS,expert_player,empty-3x3,0.1,2
team5_MCTS,expert_player,empty-3x3,0.5,2
team5_MCTS,expert_player,empty-3x3,0.5,1
team5_MCTS,expert_player,empty-3x3,0.5,2
team5_MCTS,expert_player,empty-3x3,0.5,2
team5_MCTS,expert_player,empty-3x3,0.5,2
team5_MCTS,expert_player,empty-3x3,1.0,2
team5_MCTS,expert_player,empty-3x3,1.0,2
team5_MCTS,expert_player,empty-3x3,1.0,2
team5_MCTS,expert_player,empty-3x3,1.0,2
team5_MCTS,expert_player,empty-3x3,1.0,2
team5_MCTS,expert_player,empty-3x3,2.0,2
team5_MCTS,expert_player,empty-3x3,2.0,2
team5_MCTS,expert_player,empty-3x3,2.0,2
team5_MCTS,expert_player,empty-3x3,2.0,2
team5_MCTS,expert_player,empty-3x3,2.0,2
team5_MCTS,expert_player,empty-3x3,5.0,2
team5_MCTS,expert_player,empty-3x3,5.0,2
team5_MCTS,expert_player,empty-3x3,5.0,2
team5_MCTS,expert_player,empty-3x3,5.0,2
team5_MCTS,expert_player,empty-3x3,5.0,2
team5_MCTS,expert_player,random-3x3,0.1,2
team5_MCTS,expert_player,random-3x3,0.1,2
team5_MCTS,expert_player,random-3x3,0.1,2
team5_MCTS,expert_player,random-3x3,0.1,2
team5_MCTS,expert_player,random-3x3,0.1,2
team5_MCTS,expert_player,random-3x3,0.5,2
team5_MCTS,expert_player,random-3x3,0.5,2
team5_MCTS,expert_player,random-3x3,0.5,2
team5_MCTS,expert_player,random-3x3,0.5,2
team5_MCTS,expert_player,random-3x3,0.5,2
team5_MCTS,expert_player,random-3x3,1.0,2
team5_MCTS,expert_player,random-3x3,1.0,2
team5_MCTS,expert_player,random-3x3,1.0,2
team5_MCTS,expert_player,random-3x3,1.0,2
team5_MCTS,expert_player,random-3x3,1.0,2
team5_MCTS,expert_player,random-3x3,2.0,2
team5_MCTS,expert_player,random-3x3,2.0,2
team5_MCTS,expert_player,random-3x3,2.0,2
team5_MCTS,expert_player,random-3x3,2.0,2
team5_MCTS,expert_player,random-3x3,2.0,2
team5_MCTS,expert_player,random-3x3,5.0,2
team5_MCTS,expert_player,random-3x3,5.0,2
team5_MCTS,expert_player,random-3x3,5.0,2
team5_MCTS,expert_player,random-3x3,5.0,2
team5_MCTS,expert_player,random-3x3,5.0,2
team5_MCTS,expert_player,hard-3x3,0.1,2
team5_MCTS,expert_player,hard-3x3,0.1,2
team5_MCTS,expert_player,hard-3x3,0.1,2
team5_MCTS,expert_player,hard-3x3,0.1,2
team5_MCTS,expert_player,hard-3x3,0.1,2
team5_MCTS,expert_player,hard-3x3,0.5,2
team5_MCTS,expert_player,hard-3x3,0.5,2
team5_MCTS,expert_player,hard-3x3,0.5,2
team5_MCTS,expert_player,hard-3x3,0.5,2
team5_MCTS,expert_player,hard-3x3,0.5,1
team5_MCTS,expert_player,hard-3x3,1.0,2
team5_MCTS,expert_player,hard-3x3,1.0,2
team5_MCTS,expert_player,hard-3x3,1.0,2
team5_MCTS,expert_player,hard-3x3,1.0,2
team5_MCTS,expert_player,hard-3x3,1.0,2
team5_MCTS,expert_player,hard-3x3,2.0,2
team5_MCTS,expert_player,hard-3x3,2.0,2
team5_MCTS,expert_player,hard-3x3,2.0,2
team5_MCTS,expert_player,hard-3x3,2.0,2
team5_MCTS,expert_player,hard-3x3,2.0,2
team5_MCTS,expert_player,hard-3x3,5.0,2
team5_MCTS,expert_player,hard-3x3,5.0,2
team5_MCTS,expert_player,hard-3x3,5.0,2
team5_MCTS,expert_player,hard-3x3,5.0,2
team5_MCTS,expert_player,hard-3x3,5.0,2
