Player 1,Player 2,Board,Time,Winner
greedy_player,team5_A2,random-4x4,0.5,2
team5_A2,team5_A1,random-4x4,0.5,1
team5_A1,team5_A2,random-4x4,0.5,1
greedy_player,team5_A2,empty-4x4,0.5,2
team5_A2,team5_A1,empty-4x4,0.5,2
team5_A1,team5_A2,empty-4x4,0.5,2
greedy_player,team5_A2,random-4x4,0.5,2
team5_A2,team5_A1,random-4x4,0.5,1
team5_A1,team5_A2,random-4x4,0.5,1
greedy_player,team5_A2,empty-4x4,0.5,2
team5_A2,team5_A1,empty-4x4,0.5,1
team5_A1,team5_A2,empty-4x4,0.5,1
greedy_player,team5_A2,random-4x4,1.0,2
team5_A2,team5_A1,random-4x4,1.0,2
team5_A1,team5_A2,random-4x4,1.0,2
greedy_player,team5_A2,empty-4x4,1.0,2
team5_A2,team5_A1,empty-4x4,1.0,1
team5_A1,team5_A2,empty-4x4,1.0,2
greedy_player,team5_A2,random-4x4,1.0,2
team5_A2,team5_A1,random-4x4,1.0,2
team5_A1,team5_A2,random-4x4,1.0,2
greedy_player,team5_A2,empty-4x4,1.0,1
team5_A2,team5_A1,empty-4x4,1.0,2
team5_A1,team5_A2,empty-4x4,1.0,2
greedy_player,team5_A2,random-4x4,1.0,2
team5_A2,team5_A1,random-4x4,1.0,2
team5_A1,team5_A2,random-4x4,1.0,2
greedy_player,team5_A2,empty-4x4,1.0,1
team5_A2,team5_A1,empty-4x4,1.0,1
team5_A1,team5_A2,empty-4x4,1.0,2
team5_A2,greedy_player,random-4x4,5.0,1
team5_A2,greedy_player,random-4x4,5.0,2
team5_A2,greedy_player,random-4x4,5.0,1
greedy_player,team5_A2,random-4x4,5.0,2
team5_A2,team5_A1,random-4x4,5.0,1
team5_A1,team5_A2,random-4x4,5.0,1
greedy_player,team5_A2,random-4x4,5.0,2
team5_A2,team5_A1,random-4x4,5.0,2
team5_A1,team5_A2,random-4x4,5.0,1
greedy_player,team5_A2,random-4x4,5.0,2
team5_A2,team5_A1,random-4x4,5.0,2
team5_A1,team5_A2,random-4x4,5.0,2
